Row ID (First Column),Total Error Count,Num Entries,Error Rate (%),num_error_404,num_error_500,num_error_403,num_error_406,num_error_410
Arizona State University Campus Immersion,14,48,29.17,14,0,0,0,0
Auburn University,13,39,33.33,13,0,0,0,0
Baylor University,28,28,100.0,8,0,20,0,0
Binghamton University,27,36,75.0,27,0,0,0,0
Boston College,20,24,83.33,20,0,0,0,0
Boston University,8,47,17.02,8,0,0,0,0
Brandeis University,9,20,45.0,9,0,0,0,0
Brigham Young University,40,45,88.89,1,39,0,0,0
Brown University,10,43,23.26,9,1,0,0,0
California Institute of Technology,6,25,24.0,0,6,0,0,0
Carnegie Mellon University,24,33,72.73,24,0,0,0,0
Case Western Reserve University,33,42,78.57,30,3,0,0,0
Clemson University,17,47,36.17,17,0,0,0,0
Colorado School of Mines,17,17,100.0,13,4,0,0,0
Colorado State University-Fort Collins,31,48,64.58,28,3,0,0,0
Columbia University in the City of New York,40,50,80.0,9,3,28,0,0
Cornell University,27,45,60.0,25,2,0,0,0
CUNY Graduate School and University Center,29,29,100.0,0,18,11,0,0
Dartmouth College,11,36,30.56,5,6,0,0,0
Drexel University,29,44,65.91,29,0,0,0,0
Duke University,27,43,62.79,21,5,1,0,0
East Carolina University,13,41,31.71,10,3,0,0,0
Emory University,4,31,12.9,1,3,0,0,0
Florida Atlantic University,35,41,85.37,33,0,2,0,0
Florida State University,36,51,70.59,25,11,0,0,0
George Mason University,11,42,26.19,9,2,0,0,0
George Washington University,9,43,20.93,4,5,0,0,0
Georgetown University,6,28,21.43,6,0,0,0,0
Georgia Institute of Technology-Main Campus,7,36,19.44,6,1,0,0,0
Georgia State University,8,43,18.6,1,7,0,0,0
Harvard University,12,44,27.27,8,4,0,0,0
Howard University,37,37,100.0,0,37,0,0,0
Indiana University Bloomington,30,41,73.17,24,6,0,0,0
Indiana University–Purdue University-Indianapolis,26,42,61.9,12,14,0,0,0
Iowa State University,20,45,44.44,20,0,0,0,0
