403,404,406,410,500
https://www.american.edu/cas/biology/faculty.cfm,https://chs.asu.edu/faculty,https://biosciences.rice.edu/people,https://pols.tamu.edu/people/faculty/,https://chem.byu.edu
https://www.american.edu/cas/cs/faculty.cfm,https://nursingandhealth.asu.edu/people/faculty,https://biosciences.rice.edu/people,,https://biology.byu.edu
https://www.american.edu/cas/health/faculty.cfm,https://chs.asu.edu/faculty,https://biosciences.rice.edu/people,,https://statistics.byu.edu
https://www.american.edu/cas/mathstat/faculty.cfm,https://physics.asu.edu/people/faculty,https://biosciences.rice.edu/people,,https://biology.byu.edu
https://www.american.edu/cas/mathstat/faculty.cfm,https://wpcarey.asu.edu/economics/faculty,https://biosciences.rice.edu/people,,https://pdbio.byu.edu
https://www.american.edu/cas/mathstat/faculty.cfm,https://spa.asu.edu/people/faculty,https://biosciences.rice.edu/people,,https://biology.byu.edu
https://www.american.edu/cas/chemistry/faculty.cfm,https://wpcarey.asu.edu/faculty-research/faculty,https://biosciences.rice.edu/people,,https://mmbio.byu.edu
https://www.american.edu/cas/physics/faculty.cfm,https://education.asu.edu/about/faculty,https://physics.rice.edu/people,,https://mmbio.byu.edu
https://www.american.edu/cas/psychology/faculty.cfm,https://education.asu.edu/about/faculty,https://chemistry.rice.edu/people,,https://mmbio.byu.edu
https://www.american.edu/cas/psychology/faculty.cfm,https://education.asu.edu/about/faculty,https://physics.rice.edu/people,,https://neuroscience.byu.edu
https://www.american.edu/cas/psychology/faculty.cfm,https://education.asu.edu/about/faculty,https://anthropology.rice.edu/people,,https://pdbio.byu.edu
https://www.american.edu/cas/anthropology/faculty.cfm,https://silc.asu.edu/people/faculty,https://economics.rice.edu/people,,https://cancer.byu.edu
https://www.american.edu/cas/economics/faculty.cfm,https://humancommunication.asu.edu/people/faculty,https://politicalscience.rice.edu/people,,https://cs.byu.edu
https://www.american.edu/spa/government/faculty.cfm,https://spa.asu.edu/people/faculty,https://sociology.rice.edu/people,,https://che.byu.edu
https://www.american.edu/spa/dpap/faculty.cfm,https://socialwork.asu.edu/people/faculty,https://reli.rice.edu/people,,https://cce.byu.edu
https://www.american.edu/cas/sociology/faculty.cfm,https://agriculture.auburn.edu/directory/,,,https://ece.byu.edu
https://www.american.edu/kogod/faculty-and-research/,https://cfwe.auburn.edu/directory/,,,https://me.byu.edu
https://www.american.edu/soe/faculty.cfm,https://www.eng.auburn.edu/ise/people/,,,https://geology.byu.edu
https://www.american.edu/soe/faculty.cfm,https://www.auburn.edu/academic/health/nursing/directory/,,,https://nursing.byu.edu
https://www.american.edu/soe/faculty.cfm,https://cla.auburn.edu/psychological-sciences/people/,,,https://acme.byu.edu
https://www.american.edu/soe/faculty.cfm,https://cla.auburn.edu/psychological-sciences/people/,,,https://math.byu.edu
https://www.american.edu/cas/literature/faculty.cfm,https://cla.auburn.edu/sociology-anthropology-and-social-work/people/,,,https://statistics.byu.edu
https://www.american.edu/cas/wlc/faculty.cfm,https://cla.auburn.edu/economics/people/,,,https://physics.byu.edu
https://www.american.edu/cas/history/faculty.cfm,https://cla.auburn.edu/political-science/people/,,,https://chem.byu.edu
https://www.american.edu/cas/philosophy/faculty.cfm,https://cla.auburn.edu/sociology-anthropology-and-social-work/people/,,,https://physics.byu.edu
https://www.american.edu/cas/performing-arts/faculty.cfm,https://cla.auburn.edu/world-languages/people/,,,https://psychology.byu.edu
https://www.american.edu/soc/faculty.cfm,https://cla.auburn.edu/communication-journalism/people/,,,https://cpse.byu.edu
https://www.american.edu/spa/dpap/faculty.cfm,https://cla.auburn.edu/political-science/people/,,,https://psychology.byu.edu
https://www.baylor.edu/environmentalscience/,https://cla.auburn.edu/sociology-anthropology-and-social-work/people/,,,https://anthropology.byu.edu
https://www.baylor.edu/biology/,https://www.baylor.edu/chemistrybiochemistry/,,,https://economics.byu.edu
https://www.baylor.edu/cs/,https://www.baylor.edu/ece/,,,https://politicalscience.byu.edu
https://www.baylor.edu/geosciences/,https://www.baylor.edu/mechanicalengineering/,,,https://sociology.byu.edu
https://www.baylor.edu/nursing/,https://www.baylor.edu/mathematics/,,,https://marriott.byu.edu
https://www.baylor.edu/publichealth/,https://www.baylor.edu/chemistrybiochemistry/,,,https://education.byu.edu
https://www.baylor.edu/statistics/,https://www.baylor.edu/economics/,,,https://english.byu.edu
https://www.baylor.edu/physics/,https://www.baylor.edu/politicalscience/,,,https://cls.byu.edu
https://www.baylor.edu/anthropology/,https://www.baylor.edu/modernlanguages/,,,https://history.byu.edu
https://www.baylor.edu/sociology/,https://www.binghamton.edu/biological-sciences/people/index.html,,,https://philosophy.byu.edu
https://www.baylor.edu/business/,https://www.binghamton.edu/integrative-neuroscience/people/index.html,,,https://religion.byu.edu
https://www.baylor.edu/soe/edl/,https://www.binghamton.edu/electrical-and-computer-engineering/people/index.html,,,https://music.byu.edu
https://www.baylor.edu/soe/edp/,https://www.binghamton.edu/systems-science-and-industrial-engineering/people/index.html,,,https://tma.byu.edu
https://www.baylor.edu/soe/ci/,https://www.binghamton.edu/materials-science-and-engineering/people/index.html,,,https://dance.byu.edu
https://www.baylor.edu/english/,https://www.binghamton.edu/mathematics-and-statistics/people/index.html,,,https://comms.byu.edu
https://www.baylor.edu/history/,https://www.binghamton.edu/mathematics-and-statistics/people/index.html,,,https://mpa.byu.edu
https://www.baylor.edu/philosophy/,https://www.binghamton.edu/mathematics-and-statistics/people/index.html,,,https://socialwork.byu.edu
https://www.baylor.edu/religion/,https://www.binghamton.edu/physics/people/index.html,,,https://cancer.brown.edu/people
https://www.baylor.edu/music/,https://www.binghamton.edu/chemistry/people/index.html,,,https://politicalscience.brown.edu/people
https://www.baylor.edu/theatrearts/,https://www.binghamton.edu/physics/people/index.html,,,https://www.bmb.caltech.edu/people
https://www.baylor.edu/communication/,https://www.binghamton.edu/human-development/people/index.html,,,https://www.che.caltech.edu/people
https://www.baylor.edu/social_work/,https://www.binghamton.edu/anthropology/people/index.html,,,https://www.ece.caltech.edu/people
https://biology.columbia.edu/,https://www.binghamton.edu/economics/people/index.html,,,https://www.math.caltech.edu/people
https://biology.columbia.edu/,https://www.binghamton.edu/sociology/people/index.html,,,https://www.chemistry.caltech.edu/people
https://www.bme.columbia.edu/,https://www.binghamton.edu/som/faculty-and-staff/index.html,,,https://www.physics.caltech.edu/people
https://cheme.columbia.edu/,https://www.binghamton.edu/tlel/people/index.html,,,https://astronomy.case.edu/people/
https://civil.columbia.edu/,https://www.binghamton.edu/tlel/people/index.html,,,https://economics.case.edu/people/
https://eee.columbia.edu/,https://www.binghamton.edu/tlel/people/index.html,,,https://modernlanguages.case.edu/people/
https://www.ee.columbia.edu/,https://www.binghamton.edu/tlel/people/index.html,,,https://cbe.mines.edu/directory/
https://ieor.columbia.edu/,https://www.binghamton.edu/english/people/index.html,,,https://mme.mines.edu/directory/
https://apam.columbia.edu/materials-science-engineering,https://www.binghamton.edu/comparative-literature/people/index.html,,,https://economics.mines.edu/directory/
https://me.columbia.edu/,https://www.binghamton.edu/romance-languages-and-literatures/people/index.html,,,https://economics.mines.edu/directory/
https://eesc.columbia.edu/,https://www.binghamton.edu/german-and-russian-studies/people/index.html,,,https://physics.colostate.edu/people/
https://www.ldeo.columbia.edu/,https://www.binghamton.edu/asian-and-asian-american-studies/people/index.html,,,https://chem.colostate.edu/people/
https://apam.columbia.edu/,https://www.binghamton.edu/history/people/index.html,,,https://physics.colostate.edu/people/
https://statistics.columbia.edu/,https://www.binghamton.edu/philosophy/people/index.html,,,https://systemsbiology.columbia.edu/
https://www.astro.columbia.edu/,https://www.binghamton.edu/music/people/index.html,,,https://systemsbiology.columbia.edu/
https://chem.columbia.edu/,https://www.binghamton.edu/theatre/people/index.html,,,https://econ.columbia.edu/
https://physics.columbia.edu/,https://www.binghamton.edu/communication/people/index.html,,,https://history.columbia.edu/
https://psychology.columbia.edu/,https://www.binghamton.edu/public-administration/people/index.html,,,https://bbs.cornell.edu/people
https://anthropology.columbia.edu/,https://www.bc.edu/bc-web/schools/mcas/departments/biology/people/faculty.html,,,https://neuroscience.cornell.edu/people/field-faculty
https://polisci.columbia.edu/,https://www.bc.edu/bc-web/schools/mcas/departments/psychology/people/faculty.html,,,https://toxicology.cornell.edu/people
https://www.sipa.columbia.edu/faculty-research/faculty-directory,https://www.bc.edu/bc-web/schools/mcas/departments/computer-science/people/faculty.html,,,https://religiousstudies.cornell.edu/people
https://sociology.columbia.edu/,https://www.bc.edu/bc-web/schools/mcas/departments/earth-and-environmental-sciences/people/faculty.html,,,https://communication.cornell.edu/people/faculty
https://business.columbia.edu/faculty,https://www.bc.edu/bc-web/schools/mcas/departments/mathematics/people/faculty.html,,,https://biology.gc.cuny.edu
https://english.columbia.edu/,https://www.bc.edu/bc-web/schools/mcas/departments/chemistry/people/faculty.html,,,https://biology.gc.cuny.edu
https://laic.columbia.edu/,https://www.bc.edu/bc-web/schools/mcas/departments/physics/people/faculty.html,,,https://biology.gc.cuny.edu
https://philosophy.columbia.edu/,https://www.bc.edu/bc-web/schools/lynch-school/academics/departments/cdep/people/faculty.html,,,https://sph.cuny.edu
https://religion.columbia.edu/,https://www.bc.edu/bc-web/schools/mcas/departments/psychology/people/faculty.html,,,https://biology.gc.cuny.edu
https://music.columbia.edu/,https://www.bc.edu/bc-web/schools/mcas/departments/economics/people/faculty.html,,,https://biology.gc.cuny.edu
https://arts.columbia.edu/theatre,https://www.bc.edu/bc-web/schools/mcas/departments/political-science/people/faculty.html,,,https://biology.gc.cuny.edu
https://journalism.columbia.edu/faculty,https://www.bc.edu/bc-web/schools/mcas/departments/sociology/people/faculty.html,,,https://neuroscience.gc.cuny.edu
https://www.sipa.columbia.edu/faculty-research/faculty-directory,https://www.bc.edu/bc-web/schools/lynch-school/academics/departments/elhe/people/faculty.html,,,https://cs.gc.cuny.edu
https://socialwork.columbia.edu/faculty-research/faculty-directory/,https://www.bc.edu/bc-web/schools/lynch-school/academics/departments/tcs/people/faculty.html,,,https://ees.gc.cuny.edu
