University,Agricultural sciences,Natural resources and conservation,Biochemistry and biophysics,"Biology and biomedical sciences, general","Bioinformatics, biostatistics, and computational biology","Cellular and developmental biology, and anatomy","Ecology, evolutionary biology, and epidemiology",Genetics and genomics,Microbiology and immunology,Molecular biology,Neurobiology and neurosciences,Pharmacology and toxicology,"Physiology, pathology, and cancer biology",Computer science,"Aerospace, aeronautical, and astronautical engineering",Bioengineering and biomedical engineering,Chemical and petroleum engineering,"Civil, environmental, and transportation engineering",Electrical and computer engineering,Industrial engineering and operations research,Materials and mining engineering,Mechanical engineering,Geological sciences,"Ocean, marine, and atmospheric sciences",Nursing science,Pharmaceutical sciences,Public health,Applied mathematics,Mathematics,Statistics,Astronomy and astrophysics,Chemistry,Physics,Clinical psychology,Counseling and applied psychology,Research and experimental psychology,Anthropology,Economics,Political science and government,Public policy analysis,"Sociology, demography, and population studies",Business,Education leadership and administration,Education research,Teacher education and teaching fields,"Education, other",Letters,Foreign languages and literature,History,Philosophy and religious studies,Music and performing arts,Communication,Public administration and social services
American University,,,,"['INVALID', 'https://www.american.edu/cas/biology/faculty.cfm']",,,,,,,,,,"['INVALID', 'https://www.american.edu/cas/cs/faculty.cfm']",,,,,,,,,,,,,"['INVALID', 'https://www.american.edu/cas/health/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/mathstat/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/mathstat/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/mathstat/faculty.cfm']",,"['INVALID', 'https://www.american.edu/cas/chemistry/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/physics/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/psychology/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/psychology/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/psychology/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/anthropology/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/economics/faculty.cfm']","['INVALID', 'https://www.american.edu/spa/government/faculty.cfm']","['INVALID', 'https://www.american.edu/spa/dpap/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/sociology/faculty.cfm']","['INVALID', 'https://www.american.edu/kogod/faculty-and-research/']","['INVALID', 'https://www.american.edu/soe/faculty.cfm']","['INVALID', 'https://www.american.edu/soe/faculty.cfm']","['INVALID', 'https://www.american.edu/soe/faculty.cfm']","['INVALID', 'https://www.american.edu/soe/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/literature/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/wlc/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/history/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/philosophy/faculty.cfm']","['INVALID', 'https://www.american.edu/cas/performing-arts/faculty.cfm']","['INVALID', 'https://www.american.edu/soc/faculty.cfm']","['INVALID', 'https://www.american.edu/spa/dpap/faculty.cfm']"
Arizona State University Campus Immersion,,['https://schoolofsustainability.asu.edu/people/faculty'],['https://sms.asu.edu/people/faculty'],['https://sols.asu.edu/people/faculty'],"['INVALID', 'https://chs.asu.edu/faculty']",['https://sols.asu.edu/people/faculty'],['https://sols.asu.edu/people/faculty'],['https://sols.asu.edu/people/faculty'],['https://sols.asu.edu/people/faculty'],['https://sols.asu.edu/people/faculty'],['https://psychology.asu.edu/people/faculty'],,['https://sols.asu.edu/people/faculty'],['https://scai.engineering.asu.edu/faculty'],['https://semte.engineering.asu.edu/faculty'],['https://sbhse.engineering.asu.edu/faculty'],['https://semte.engineering.asu.edu/faculty'],['https://ssebe.engineering.asu.edu/faculty'],['https://ecee.engineering.asu.edu/faculty'],['https://scai.engineering.asu.edu/faculty'],['https://semte.engineering.asu.edu/faculty'],['https://semte.engineering.asu.edu/faculty'],['https://sese.asu.edu/people/faculty'],,"['INVALID', 'https://nursingandhealth.asu.edu/people/faculty']",,"['INVALID', 'https://chs.asu.edu/faculty']",['https://math.asu.edu/people/faculty'],['https://math.asu.edu/people/faculty'],['https://math.asu.edu/people/faculty'],['https://sese.asu.edu/people/faculty'],['https://sms.asu.edu/people/faculty'],"['INVALID', 'https://physics.asu.edu/people/faculty']","['INVALID', 'https://psychology.asu.edu/people/faculty']",,"['INVALID', 'https://psychology.asu.edu/people/faculty']","['INVALID', 'https://shesc.asu.edu/people/faculty']","['INVALID', 'https://wpcarey.asu.edu/economics/faculty']","['INVALID', 'https://spgs.asu.edu/people/faculty']","['INVALID', 'https://spa.asu.edu/people/faculty']","['INVALID', 'https://thesanfordschool.asu.edu/people/faculty']","['INVALID', 'https://wpcarey.asu.edu/faculty-research/faculty']","['INVALID', 'https://education.asu.edu/about/faculty']","['INVALID', 'https://education.asu.edu/about/faculty']","['INVALID', 'https://education.asu.edu/about/faculty']","['INVALID', 'https://education.asu.edu/about/faculty']",['https://english.asu.edu/people/faculty'],"['INVALID', 'https://silc.asu.edu/people/faculty']",['https://shprs.asu.edu/people/faculty'],"['INVALID', 'https://shprs.asu.edu/people/faculty']","['INVALID', 'https://musicdancetheatre.asu.edu/people/faculty']","['INVALID', 'https://humancommunication.asu.edu/people/faculty']","['INVALID', 'https://spa.asu.edu/people/faculty', 'INVALID', 'https://socialwork.asu.edu/people/faculty']"
Auburn University,"['INVALID', 'https://agriculture.auburn.edu/directory/']","['INVALID', 'https://cfwe.auburn.edu/directory/']",['https://www.auburn.edu/cosam/departments/chemistry/people/index.htm'],['https://www.auburn.edu/cosam/departments/biology/people/index.htm'],,['https://www.auburn.edu/cosam/departments/biology/people/index.htm'],['https://www.auburn.edu/cosam/departments/biology/people/index.htm'],['https://www.auburn.edu/cosam/departments/biology/people/index.htm'],['https://www.auburn.edu/cosam/departments/biology/people/index.htm'],['https://www.auburn.edu/cosam/departments/biology/people/index.htm'],,,,['https://www.eng.auburn.edu/csse/people/'],['https://www.eng.auburn.edu/aero/people/'],,['https://www.eng.auburn.edu/chen/people/'],['https://www.eng.auburn.edu/civil/people/'],['https://www.eng.auburn.edu/ece/people/'],"['INVALID', 'https://www.eng.auburn.edu/ise/people/']",['https://www.eng.auburn.edu/matl/people/'],['https://www.eng.auburn.edu/mech/people/'],['https://www.auburn.edu/cosam/departments/geosciences/people/index.htm'],,"['INVALID', 'https://www.auburn.edu/academic/health/nursing/directory/']",,,['https://www.auburn.edu/cosam/departments/mathstat/people/index.htm'],['https://www.auburn.edu/cosam/departments/mathstat/people/index.htm'],['https://www.auburn.edu/cosam/departments/mathstat/people/index.htm'],,['https://www.auburn.edu/cosam/departments/chemistry/people/index.htm'],['https://www.auburn.edu/cosam/departments/physics/people/index.htm'],"['INVALID', 'https://cla.auburn.edu/psychological-sciences/people/']",,"['INVALID', 'https://cla.auburn.edu/psychological-sciences/people/']","['INVALID', 'https://cla.auburn.edu/sociology-anthropology-and-social-work/people/']","['INVALID', 'https://cla.auburn.edu/economics/people/']","['INVALID', 'https://cla.auburn.edu/political-science/people/']",,"['INVALID', 'https://cla.auburn.edu/sociology-anthropology-and-social-work/people/']",['https://harbert.auburn.edu/directory/'],,,,['https://www.education.auburn.edu/directory/'],['https://cla.auburn.edu/english/people/'],"['INVALID', 'https://cla.auburn.edu/world-languages/people/']",['https://cla.auburn.edu/history/people/'],['https://cla.auburn.edu/philosophy/people/'],"['https://cla.auburn.edu/music/people/', 'https://cla.auburn.edu/theatre/people/']","['INVALID', 'https://cla.auburn.edu/communication-journalism/people/']","['INVALID', 'https://cla.auburn.edu/political-science/people/', 'INVALID', 'https://cla.auburn.edu/sociology-anthropology-and-social-work/people/']"
Baylor College of Medicine,,,"['INVALID', 'https://www.bcm.edu/departments/biochemistry-and-molecular-pharmacology']",,,['https://www.bcm.edu/departments/molecular-and-cellular-biology'],,"['INVALID', 'https://www.bcm.edu/departments/molecular-and-human-genetics']","['https://www.bcm.edu/departments/molecular-virology-and-microbiology', 'https://www.bcm.edu/departments/pathology-and-immunology']",['https://www.bcm.edu/departments/molecular-and-cellular-biology'],['https://www.bcm.edu/departments/neuroscience'],['https://www.bcm.edu/departments/biochemistry-and-molecular-pharmacology'],"['https://www.bcm.edu/departments/molecular-physiology-and-biophysics', 'https://www.bcm.edu/departments/pathology-and-immunology', 'https://www.bcm.edu/departments/molecular-and-cellular-biology']",,,,,,,,,,,,,,,,,,,,,['https://www.bcm.edu/departments/psychiatry-and-behavioral-sciences'],['https://www.bcm.edu/departments/psychiatry-and-behavioral-sciences'],"['https://www.bcm.edu/departments/psychiatry-and-behavioral-sciences', 'https://www.bcm.edu/departments/neuroscience']",,,,,,,,,,,,,,,,,
Baylor University,,"['INVALID', 'https://www.baylor.edu/environmentalscience/']","['INVALID', 'https://www.baylor.edu/chemistrybiochemistry/']","['INVALID', 'https://www.baylor.edu/biology/']",,,,,,,,,,"['INVALID', 'https://www.baylor.edu/cs/']",,,,,"['INVALID', 'https://www.baylor.edu/ece/']",,,"['INVALID', 'https://www.baylor.edu/mechanicalengineering/']","['INVALID', 'https://www.baylor.edu/geosciences/']",,"['INVALID', 'https://www.baylor.edu/nursing/']",,"['INVALID', 'https://www.baylor.edu/publichealth/']",,"['INVALID', 'https://www.baylor.edu/mathematics/']","['INVALID', 'https://www.baylor.edu/statistics/']",,"['INVALID', 'https://www.baylor.edu/chemistrybiochemistry/']","['INVALID', 'https://www.baylor.edu/physics/']",,,,"['INVALID', 'https://www.baylor.edu/anthropology/']","['INVALID', 'https://www.baylor.edu/economics/']","['INVALID', 'https://www.baylor.edu/politicalscience/']",,"['INVALID', 'https://www.baylor.edu/sociology/']","['INVALID', 'https://www.baylor.edu/business/']","['INVALID', 'https://www.baylor.edu/soe/edl/']","['INVALID', 'https://www.baylor.edu/soe/edp/']","['INVALID', 'https://www.baylor.edu/soe/ci/']",,"['INVALID', 'https://www.baylor.edu/english/']","['INVALID', 'https://www.baylor.edu/modernlanguages/']","['INVALID', 'https://www.baylor.edu/history/']","['INVALID', 'https://www.baylor.edu/philosophy/', 'INVALID', 'https://www.baylor.edu/religion/']","['INVALID', 'https://www.baylor.edu/music/', 'INVALID', 'https://www.baylor.edu/theatrearts/']","['INVALID', 'https://www.baylor.edu/communication/']","['INVALID', 'https://www.baylor.edu/social_work/']"
Binghamton University,,['https://www.binghamton.edu/geology/people/index.html'],,"['INVALID', 'https://www.binghamton.edu/biological-sciences/people/index.html']",,,,,,,"['INVALID', 'https://www.binghamton.edu/integrative-neuroscience/people/index.html']",,,['https://www.binghamton.edu/computer-science/people/index.html'],,['https://www.binghamton.edu/biomedical-engineering/people/index.html'],,,"['INVALID', 'https://www.binghamton.edu/electrical-and-computer-engineering/people/index.html']","['INVALID', 'https://www.binghamton.edu/systems-science-and-industrial-engineering/people/index.html']","['INVALID', 'https://www.binghamton.edu/materials-science-and-engineering/people/index.html']",['https://www.binghamton.edu/mechanical-engineering/people/index.html'],['https://www.binghamton.edu/geology/people/index.html'],,['https://www.binghamton.edu/decker/nursing/people/index.html'],,,"['INVALID', 'https://www.binghamton.edu/mathematics-and-statistics/people/index.html']","['INVALID', 'https://www.binghamton.edu/mathematics-and-statistics/people/index.html']","['INVALID', 'https://www.binghamton.edu/mathematics-and-statistics/people/index.html']","['INVALID', 'https://www.binghamton.edu/physics/people/index.html']","['INVALID', 'https://www.binghamton.edu/chemistry/people/index.html']","['INVALID', 'https://www.binghamton.edu/physics/people/index.html']",['https://www.binghamton.edu/psychology/people/index.html'],"['INVALID', 'https://www.binghamton.edu/human-development/people/index.html']",['https://www.binghamton.edu/psychology/people/index.html'],"['INVALID', 'https://www.binghamton.edu/anthropology/people/index.html']","['INVALID', 'https://www.binghamton.edu/economics/people/index.html']",['https://www.binghamton.edu/political-science/people/index.html'],,"['INVALID', 'https://www.binghamton.edu/sociology/people/index.html']","['INVALID', 'https://www.binghamton.edu/som/faculty-and-staff/index.html']","['INVALID', 'https://www.binghamton.edu/tlel/people/index.html']","['INVALID', 'https://www.binghamton.edu/tlel/people/index.html']","['INVALID', 'https://www.binghamton.edu/tlel/people/index.html']","['INVALID', 'https://www.binghamton.edu/tlel/people/index.html']","['INVALID', 'https://www.binghamton.edu/english/people/index.html', 'INVALID', 'https://www.binghamton.edu/comparative-literature/people/index.html']","['INVALID', 'https://www.binghamton.edu/romance-languages-and-literatures/people/index.html', 'INVALID', 'https://www.binghamton.edu/german-and-russian-studies/people/index.html', 'INVALID', 'https://www.binghamton.edu/asian-and-asian-american-studies/people/index.html']","['INVALID', 'https://www.binghamton.edu/history/people/index.html']","['INVALID', 'https://www.binghamton.edu/philosophy/people/index.html', 'https://www.binghamton.edu/judaic-studies/people/index.html']","['INVALID', 'https://www.binghamton.edu/music/people/index.html', 'INVALID', 'https://www.binghamton.edu/theatre/people/index.html']","['INVALID', 'https://www.binghamton.edu/communication/people/index.html']","['INVALID', 'https://www.binghamton.edu/public-administration/people/index.html', 'https://www.binghamton.edu/social-work/people/index.html']"
Boston College,,,,"['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/biology/people/faculty.html']",,,,,,,"['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/psychology/people/faculty.html']",,,"['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/computer-science/people/faculty.html']",,,,,,,,,"['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/earth-and-environmental-sciences/people/faculty.html']",,['https://www.bc.edu/bc-web/schools/cson/faculty-research/faculty-directory.html'],,,,"['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/mathematics/people/faculty.html']",,,"['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/chemistry/people/faculty.html']","['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/physics/people/faculty.html']",,"['INVALID', 'https://www.bc.edu/bc-web/schools/lynch-school/academics/departments/cdep/people/faculty.html']","['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/psychology/people/faculty.html']",,"['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/economics/people/faculty.html']","['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/political-science/people/faculty.html']",,"['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/sociology/people/faculty.html']",['https://www.bc.edu/bc-web/schools/carroll-school/faculty-research/faculty-directory.html'],"['INVALID', 'https://www.bc.edu/bc-web/schools/lynch-school/academics/departments/elhe/people/faculty.html']",,"['INVALID', 'https://www.bc.edu/bc-web/schools/lynch-school/academics/departments/tcs/people/faculty.html']",['https://www.bc.edu/bc-web/schools/lynch-school/faculty-research/faculty-directory.html'],"['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/english/people/faculty.html']","['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/romance-languages-and-literatures/people/faculty.html', 'INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/slavic-and-eastern-languages-and-literatures/people/faculty.html', 'INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/classical-studies/people/faculty.html']","['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/history/people/faculty.html']","['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/philosophy/people/faculty.html', 'INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/theology/people/faculty.html']","['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/music/people/faculty.html', 'INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/theatre/people/faculty.html']","['INVALID', 'https://www.bc.edu/bc-web/schools/mcas/departments/communication/people/faculty.html']",['https://www.bc.edu/bc-web/schools/ssw/faculty-research/faculty-directory.html']
Boston University,,['https://www.bu.edu/earth/people/'],"['https://www.bumc.bu.edu/biochem/faculty/', 'INVALID', 'https://www.bumc.bu.edu/phys-biophys/people/']",['https://www.bu.edu/biology/people/'],"['https://www.bu.edu/bioinformatics/people/', 'https://www.bu.edu/sph/about/departments/biostatistics/']","['INVALID', 'https://www.bumc.bu.edu/anatneuro/people/']","['https://www.bu.edu/sph/about/departments/epidemiology/', 'https://www.bu.edu/biology/people/']","['INVALID', 'https://www.bumc.bu.edu/gsi/members/']",['https://www.bumc.bu.edu/microbiology/people/'],['https://www.bu.edu/mcbb/faculty/'],['https://www.bu.edu/neuro/people/faculty/'],"['INVALID', 'https://www.bumc.bu.edu/pharmacology/people/']","['INVALID', 'https://www.bumc.bu.edu/phys-biophys/people/', 'INVALID', 'https://www.bumc.bu.edu/cancercenter/members/']",['https://www.bu.edu/cs/people/'],,['https://www.bu.edu/bme/faculty/'],"['INVALID', 'https://www.bu.edu/che/faculty/']",,['https://www.bu.edu/ece/faculty/'],,['https://www.bu.edu/mse/people/faculty/'],['https://www.bu.edu/me/faculty/'],['https://www.bu.edu/earth/people/'],"['https://www.bu.edu/bump/people/', 'https://www.bu.edu/earth/people/']",,,"['INVALID', 'https://www.bu.edu/sph/profile/']",['https://www.bu.edu/math/people/'],['https://www.bu.edu/math/people/'],['https://www.bu.edu/math/people/'],['https://www.bu.edu/astronomy/people/'],['https://www.bu.edu/chemistry/people/'],['https://www.bu.edu/physics/people/'],['https://www.bu.edu/psych/people/faculty/'],['https://www.bu.edu/wheelock/faculty/'],['https://www.bu.edu/psych/people/faculty/'],['https://www.bu.edu/anthrop/people/'],['https://www.bu.edu/econ/people/'],['https://www.bu.edu/polisci/people/'],"['INVALID', 'https://www.bu.edu/pardee-school/people/faculty/']",['https://www.bu.edu/sociology/people/'],['https://www.bu.edu/questrom/faculty/'],['https://www.bu.edu/wheelock/faculty/'],['https://www.bu.edu/wheelock/faculty/'],['https://www.bu.edu/wheelock/faculty/'],['https://www.bu.edu/wheelock/faculty/'],['https://www.bu.edu/english/people/'],['https://www.bu.edu/wll/people/faculty/'],['https://www.bu.edu/history/people/'],"['https://www.bu.edu/philo/people/', 'https://www.bu.edu/religion/people/']",['https://www.bu.edu/cfa/music/faculty/'],['https://www.bu.edu/com/faculty/'],['https://www.bu.edu/ssw/faculty/']
Brandeis University,,,"['INVALID', 'https://www.brandeis.edu/biochemistry/people/']","['INVALID', 'https://www.brandeis.edu/biology/people/']",,,,,,,"['INVALID', 'https://www.brandeis.edu/neuroscience/people/']",,,['https://www.brandeis.edu/computer-science/people/'],,,,,,,,,,,,,,,['https://www.brandeis.edu/mathematics/people/'],,,"['INVALID', 'https://www.brandeis.edu/chemistry/people/']",['https://www.brandeis.edu/physics/people/'],,,['https://www.brandeis.edu/psychology/people/'],['https://www.brandeis.edu/anthropology/people/'],['https://www.brandeis.edu/economics/people/'],['https://www.brandeis.edu/politics/people/'],,['https://www.brandeis.edu/sociology/people/'],['https://www.brandeis.edu/global/faculty/'],,"['INVALID', 'https://www.brandeis.edu/education/people/']","['INVALID', 'https://www.brandeis.edu/education/people/']","['INVALID', 'https://www.brandeis.edu/education/people/']","['INVALID', 'https://www.brandeis.edu/english/people/']",,['https://www.brandeis.edu/history/people/'],['https://www.brandeis.edu/philosophy/people/'],"['INVALID', 'https://www.brandeis.edu/music/people/']",,
