Row ID (First Column),Total Error Count,num_error_404,num_error_500,num_error_403,num_error_406,num_error_410
Arizona State University Campus Immersion,14,14,0,0,0,0
Auburn University,13,13,0,0,0,0
Baylor University,28,8,0,20,0,0
Binghamton University,27,27,0,0,0,0
Boston College,20,20,0,0,0,0
Boston University,8,8,0,0,0,0
Brandeis University,9,9,0,0,0,0
Brigham Young University,40,1,39,0,0,0
Brown University,10,9,1,0,0,0
California Institute of Technology,6,0,6,0,0,0
Carnegie Mellon University,24,24,0,0,0,0
Case Western Reserve University,33,30,3,0,0,0
Clemson University,17,17,0,0,0,0
Colorado School of Mines,17,13,4,0,0,0
Colorado State University-Fort Collins,31,28,3,0,0,0
Columbia University in the City of New York,40,9,3,28,0,0
Cornell University,27,25,2,0,0,0
CUNY Graduate School and University Center,29,0,18,11,0,0
Dartmouth College,11,5,6,0,0,0
Drexel University,29,29,0,0,0,0
Duke University,27,21,5,1,0,0
East Carolina University,13,10,3,0,0,0
Emory University,4,1,3,0,0,0
Florida Atlantic University,35,33,0,2,0,0
Florida State University,36,25,11,0,0,0
George Mason University,11,9,2,0,0,0
George Washington University,9,4,5,0,0,0
Georgetown University,6,6,0,0,0,0
Georgia Institute of Technology-Main Campus,7,6,1,0,0,0
Georgia State University,8,1,7,0,0,0
Harvard University,12,8,4,0,0,0
Howard University,37,0,37,0,0,0
Indiana University Bloomington,30,24,6,0,0,0
Indiana University–Purdue University-Indianapolis,26,12,14,0,0,0
Iowa State University,20,20,0,0,0,0
Johns Hopkins University,19,10,8,1,0,0
Kansas State University,6,5,1,0,0,0
Kent State University at Kent,40,40,0,0,0,0
Louisiana State University and Agricultural & Mechanical College,29,22,1,6,0,0
Loyola University Chicago,1,1,0,0,0,0
Massachusetts Institute of Technology,19,15,4,0,0,0
Michigan Technological University,40,36,0,4,0,0
Mississippi State University,14,13,0,1,0,0
Missouri University of Science and Technology,1,0,1,0,0,0
New Jersey Institute of Technology,2,0,0,2,0,0
New York University,23,6,17,0,0,0
North Carolina State University at Raleigh,19,9,9,1,0,0
North Dakota State University-Main Campus,4,4,0,0,0,0
Northeastern University,11,5,6,0,0,0
Northern Arizona University,36,36,0,0,0,0
Northwestern University,26,22,4,0,0,0
Ohio State University-Main Campus,21,19,2,0,0,0
Oklahoma State University-Main Campus,29,28,1,0,0,0
Old Dominion University,15,15,0,0,0,0
Oregon State University,27,22,5,0,0,0
Pennsylvania State University-Main Campus,37,35,2,0,0,0
Princeton University,34,7,1,26,0,0
Purdue University-Main Campus,6,2,4,0,0,0
Rensselaer Polytechnic Institute,15,15,0,0,0,0
Rice University,20,2,3,0,15,0
Rutgers University-New Brunswick,20,18,2,0,0,0
Saint Louis University,19,19,0,0,0,0
San Diego State University,4,1,3,0,0,0
Southern Illinois University-Carbondale,37,26,11,0,0,0
Southern Methodist University,4,3,1,0,0,0
Stanford University,38,6,32,0,0,0
Stony Brook University,37,24,13,0,0,0
Syracuse University,28,21,7,0,0,0
Temple University,11,11,0,0,0,0
Texas A & M University-College Station,23,21,1,0,0,1
The Catholic University of America,26,26,0,0,0,0
The University of Alabama,34,28,6,0,0,0
The University of Montana,16,16,0,0,0,0
The University of Tennessee-Knoxville,32,9,23,0,0,0
The University of Texas at Arlington,32,32,0,0,0,0
The University of Texas at Austin,37,33,4,0,0,0
The University of Texas at El Paso,38,23,0,15,0,0
